sample_id,class_id,class_name,image_size,center_x,center_y,radius_or_half_side,noise_std,foreground_brightness,pixel_mean,split
0,0,circle,32,13,12,7,0.0486,0.816,0.1227,train
1,0,circle,32,18,11,12,0.0483,0.9124,0.4031,train
2,0,circle,32,19,10,14,0.0543,0.8058,0.4845,train
3,0,circle,32,20,21,14,0.0509,0.7977,0.4797,train
4,0,circle,32,10,22,8,0.0404,0.8168,0.1604,train
5,0,circle,32,15,14,8,0.0553,0.9176,0.1802,train
6,0,circle,32,16,11,11,0.0537,0.7745,0.2875,train
7,0,circle,32,19,14,6,0.0666,0.9534,0.1053,train
8,0,circle,32,16,11,14,0.0484,0.9835,0.5914,train
9,0,circle,32,20,19,11,0.0377,0.8204,0.3046,train
10,0,circle,32,13,22,10,0.0362,0.761,0.2335,train
11,0,circle,32,13,11,12,0.0427,0.9865,0.4358,train
12,0,circle,32,15,15,9,0.0475,0.8376,0.2081,train
13,0,circle,32,21,20,7,0.064,0.9108,0.1369,train
14,0,circle,32,12,17,12,0.0453,0.925,0.4087,train
15,0,circle,32,20,21,14,0.0461,0.8148,0.49,train
16,0,circle,32,10,13,6,0.0517,0.9344,0.1032,train
17,0,circle,32,16,14,7,0.0587,0.9432,0.1418,train
18,0,circle,32,15,13,13,0.0558,0.9603,0.4979,train
19,0,circle,32,20,17,8,0.0732,0.845,0.1659,train
20,0,circle,32,14,21,12,0.0493,0.8847,0.3908,train
21,0,circle,32,16,15,9,0.0575,0.9655,0.2399,train
22,0,circle,32,22,10,7,0.0555,0.8684,0.1305,train
23,0,circle,32,12,22,12,0.0499,0.7867,0.3476,train
24,0,circle,32,17,18,10,0.0419,0.893,0.274,train
25,0,circle,32,10,20,7,0.0444,0.9831,0.1478,train
26,0,circle,32,20,15,7,0.0448,0.814,0.1224,train
27,0,circle,32,12,17,6,0.0387,0.8204,0.0906,train
28,0,circle,32,18,22,8,0.0696,0.8132,0.1597,train
29,0,circle,32,11,20,10,0.0442,0.8718,0.2675,train
30,0,circle,32,15,22,8,0.0565,0.7977,0.1566,train
31,0,circle,32,22,18,6,0.04,0.8795,0.0971,train
32,0,circle,32,15,22,10,0.0406,0.7768,0.2383,train
33,0,circle,32,13,19,7,0.0433,0.8075,0.1214,train
34,0,circle,32,22,18,8,0.0599,0.7666,0.1505,train
35,0,circle,32,17,18,8,0.0559,0.7808,0.1533,train
36,0,circle,32,13,18,9,0.0481,0.8516,0.2116,train
37,0,circle,32,16,20,11,0.0702,0.9211,0.3419,train
38,0,circle,32,13,11,11,0.0388,0.779,0.2892,train
39,0,circle,32,18,13,9,0.0546,0.755,0.1876,train
40,0,circle,32,11,10,11,0.0657,0.7641,0.2837,train
41,0,circle,32,13,14,13,0.0507,0.767,0.3977,train
42,0,circle,32,19,19,13,0.0512,0.9745,0.5053,train
43,0,circle,32,17,22,12,0.0552,0.8083,0.3571,train
44,0,circle,32,16,16,13,0.0517,0.8535,0.4425,train
45,0,circle,32,10,20,7,0.0542,0.9573,0.1439,train
46,0,circle,32,11,13,9,0.065,0.9421,0.2341,train
47,0,circle,32,17,12,12,0.056,0.7957,0.3515,train
48,0,circle,32,11,17,14,0.0545,0.9599,0.5772,train
49,0,circle,32,20,18,6,0.0602,0.7735,0.0854,train
50,0,circle,32,12,16,13,0.0724,0.9537,0.4945,train
51,0,circle,32,16,10,8,0.0456,0.8655,0.1699,train
52,0,circle,32,22,22,13,0.0289,0.8136,0.4218,train
53,0,circle,32,21,21,14,0.07,0.8185,0.4922,train
54,0,circle,32,13,10,14,0.0439,0.7956,0.4784,train
55,0,circle,32,15,10,6,0.0402,0.7646,0.0844,train
56,0,circle,32,12,10,14,0.0398,0.9547,0.5741,train
57,0,circle,32,12,11,7,0.044,0.7692,0.1156,train
58,0,circle,32,19,13,6,0.0467,0.7788,0.086,train
59,0,circle,32,16,20,14,0.0435,0.8987,0.5404,train
60,0,circle,32,15,13,10,0.0469,0.9107,0.2794,train
61,0,circle,32,20,20,10,0.0571,0.845,0.2592,train
62,0,circle,32,10,17,7,0.0278,0.9746,0.1465,train
63,0,circle,32,13,18,10,0.0561,0.7676,0.2355,train
64,0,circle,32,13,15,10,0.0562,0.7665,0.2352,train
65,0,circle,32,18,21,10,0.0569,0.7879,0.2417,train
66,0,circle,32,10,20,14,0.0274,0.907,0.5454,train
67,0,circle,32,20,11,8,0.0309,0.8219,0.1614,train
68,0,circle,32,12,14,10,0.0481,0.9282,0.2848,train
69,0,circle,32,21,15,9,0.0709,0.8952,0.2225,train
70,0,circle,32,14,10,7,0.0425,0.8713,0.131,train
71,0,circle,32,14,10,6,0.0319,0.9022,0.0996,train
72,0,circle,32,12,21,13,0.0473,0.9852,0.5108,train
73,0,circle,32,16,18,6,0.0546,0.8824,0.0975,train
74,0,circle,32,12,18,6,0.0684,0.9158,0.1011,train
75,0,circle,32,19,18,8,0.0656,0.9503,0.1866,train
76,0,circle,32,22,10,11,0.0474,0.8375,0.3109,train
77,0,circle,32,13,20,7,0.0512,0.8004,0.1203,train
78,0,circle,32,19,21,8,0.0422,0.9599,0.1885,train
79,0,circle,32,13,12,8,0.0602,0.9722,0.1909,train
80,0,circle,32,15,22,12,0.0516,0.9268,0.4094,train
81,0,circle,32,21,22,9,0.0485,0.9425,0.2342,train
82,0,circle,32,10,17,9,0.0481,0.7759,0.1928,train
83,0,circle,32,17,15,10,0.0675,0.7979,0.2448,train
84,0,circle,32,20,13,12,0.0587,0.8035,0.355,train
85,0,circle,32,11,22,10,0.0317,0.8288,0.2543,train
86,0,circle,32,18,15,6,0.0429,0.9131,0.1008,train
87,0,circle,32,14,12,10,0.0596,0.7777,0.2386,train
88,0,circle,32,22,15,12,0.0631,0.833,0.368,train
89,0,circle,32,18,11,12,0.0532,0.8955,0.3956,train
90,0,circle,32,16,10,14,0.0552,0.7607,0.4574,train
91,0,circle,32,18,20,9,0.0462,0.9721,0.2416,train
92,0,circle,32,15,19,11,0.0475,0.9094,0.3376,train
93,0,circle,32,11,21,10,0.0529,0.9092,0.2789,train
94,0,circle,32,21,14,14,0.0352,0.8283,0.4981,train
95,0,circle,32,16,20,12,0.0493,0.7805,0.3448,train
96,0,circle,32,14,16,14,0.0405,0.8977,0.5398,train
97,0,circle,32,14,14,9,0.0306,0.9501,0.2361,train
98,0,circle,32,17,17,13,0.0381,0.9071,0.4703,train
99,0,circle,32,18,17,8,0.0556,0.9122,0.1791,train
100,0,circle,32,19,15,7,0.0456,0.9093,0.1367,train
101,0,circle,32,22,13,10,0.0431,0.9464,0.2904,train
102,0,circle,32,13,17,7,0.0511,0.7559,0.1136,train
103,0,circle,32,20,19,9,0.0566,0.8593,0.2135,train
104,0,circle,32,12,20,6,0.0481,0.8459,0.0934,train
105,0,circle,32,22,11,12,0.0404,0.9642,0.426,train
106,0,circle,32,17,10,14,0.0535,0.917,0.5514,train
107,0,circle,32,11,17,8,0.0677,0.8098,0.159,train
108,0,circle,32,19,15,13,0.0547,0.9871,0.5118,train
109,0,circle,32,21,18,12,0.0359,0.897,0.3963,train
110,0,circle,32,21,17,13,0.0561,0.9653,0.5005,train
111,0,circle,32,13,20,10,0.039,0.8122,0.2492,train
112,0,circle,32,14,17,7,0.0512,0.9004,0.1354,train
113,0,circle,32,13,14,11,0.0379,0.9213,0.342,train
114,0,circle,32,13,16,8,0.0447,0.7832,0.1538,train
115,0,circle,32,11,16,12,0.0613,0.9195,0.4062,train
116,0,circle,32,16,16,6,0.0446,0.7649,0.0845,train
117,0,circle,32,22,19,12,0.0598,0.9556,0.4222,train
118,0,circle,32,16,16,14,0.0263,0.8217,0.4941,train
119,0,circle,32,18,22,9,0.0534,0.9294,0.231,train
120,0,circle,32,16,15,12,0.042,0.8666,0.3829,train
121,0,circle,32,17,12,14,0.0506,0.9238,0.5555,train
122,0,circle,32,10,11,12,0.0599,0.8855,0.3912,train
123,0,circle,32,17,12,6,0.0517,0.7826,0.0864,train
124,0,circle,32,15,22,12,0.0494,0.8591,0.3795,train
125,0,circle,32,16,14,7,0.0589,0.8168,0.1228,train
126,0,circle,32,15,13,7,0.0337,0.7625,0.1146,train
127,0,circle,32,20,10,6,0.0531,0.9375,0.1035,train
128,0,circle,32,12,13,8,0.0563,0.7549,0.1482,train
129,0,circle,32,11,19,9,0.0479,0.8637,0.2146,train
130,0,circle,32,19,19,7,0.0425,0.8385,0.1261,train
131,0,circle,32,12,14,7,0.0517,0.9367,0.1408,train
132,0,circle,32,16,16,9,0.0298,0.8882,0.2207,train
133,0,circle,32,21,20,9,0.0391,0.7682,0.1909,train
134,0,circle,32,19,22,7,0.0638,0.9541,0.1434,train
135,0,circle,32,19,22,6,0.0603,0.9411,0.1039,train
136,0,circle,32,18,20,11,0.0439,0.8389,0.3114,train
137,0,circle,32,16,17,7,0.0587,0.753,0.1132,train
138,0,circle,32,17,21,8,0.0413,0.964,0.1893,train
139,0,circle,32,21,18,10,0.0538,0.8545,0.2622,train
140,0,circle,32,17,16,10,0.0332,0.9359,0.2871,train
141,0,circle,32,13,11,10,0.0351,0.8274,0.2538,train
142,0,circle,32,19,20,12,0.0555,0.8615,0.3806,train
143,0,circle,32,17,15,8,0.0449,0.8307,0.1631,train
144,0,circle,32,14,19,10,0.0407,0.812,0.2491,train
145,0,circle,32,18,13,7,0.0507,0.8834,0.1328,train
146,0,circle,32,13,21,13,0.0506,0.8832,0.4579,train
147,0,circle,32,17,17,6,0.0602,0.905,0.1,train
148,0,circle,32,14,20,11,0.0559,0.916,0.34,train
149,0,circle,32,18,15,12,0.0539,0.8636,0.3815,train
150,0,circle,32,17,14,10,0.0626,0.8344,0.256,train
151,0,circle,32,11,21,9,0.0497,0.8103,0.2014,train
152,0,circle,32,21,12,9,0.0434,0.9782,0.2431,train
153,0,circle,32,17,14,14,0.0651,0.8019,0.4822,train
154,0,circle,32,14,13,11,0.027,0.9498,0.3526,train
155,0,circle,32,10,21,14,0.034,0.7931,0.4769,train
156,0,circle,32,14,21,8,0.0521,0.7631,0.1498,train
157,0,circle,32,22,17,7,0.0522,0.9031,0.1358,train
158,0,circle,32,17,15,8,0.0591,0.8627,0.1694,train
159,0,circle,32,14,17,7,0.0406,0.9817,0.1476,train
160,0,circle,32,20,20,6,0.0544,0.7678,0.0848,train
161,0,circle,32,22,19,10,0.0409,0.7864,0.2413,train
162,0,circle,32,16,19,9,0.0565,0.8839,0.2197,train
163,0,circle,32,16,17,13,0.0539,0.9362,0.4854,train
164,0,circle,32,19,19,6,0.0461,0.8529,0.0942,train
165,0,circle,32,21,11,9,0.0627,0.8963,0.2227,train
166,0,circle,32,13,12,14,0.0445,0.7695,0.4627,train
167,0,circle,32,10,16,13,0.0444,0.768,0.3982,train
168,0,circle,32,14,21,10,0.0458,0.7578,0.2325,train
169,0,circle,32,17,11,9,0.0395,0.9187,0.2283,train
170,0,circle,32,20,22,9,0.0656,0.9,0.2237,train
171,0,circle,32,18,13,8,0.0419,0.852,0.1673,train
172,0,circle,32,12,22,10,0.0657,0.7671,0.2353,train
173,0,circle,32,19,14,13,0.0398,0.8928,0.4629,train
